PROPN,Ocorrências
Green School Bali,5
Alto Minho,5
Rui Paulo,5
Diego Martinez,5
Madalena Oliveira,5
DCC,5
Heitor,5
Jorge Jorge,5
Ereany Refosco,5
ProChild,5
Orpheu,4
Carlos Pazos,4
Centro de Estudos Humanísticos de o UMinho,4
Consello de o Cultura Galega,4
Ramón Villares,4
Guisado,4
Assembleia de o República,4
CEE,4
INL,4
Design e Marketing de Moda,4
José Rodrigues de o Santos,4
Futebol Clube de o Porto,4
Pedro Dono,4
BabeliUM,4
Rádio Universitária de o Minho,4
CCDR-N,4
Sistemas de Informação,4
Miguel Torga,4
Biblioteca Pública,4
Museu Alberto Sampaio,4
Paço de o Duques,4
Sociedade Martins Sarmento,4
Direito,4
Gabinete,4
25 de Abril,4
Comissão Instaladora,4
Ministério de o Educação,4
Bom Jesus,4
Évora,4
África de o Sul,4
Hernâni Maia,4
Artur Norton,4
Maputo,4
Centro de Investigação,4
Bracara Augusta,4
Licínio Chainho Pereira,4
University College London,4
Escola de Arquitetura de o UMinho,4
Palácio de Vila Flor,4
Escola de Ciências de o Saúde,4
Hospital de Braga,4
Helen Santos Alves,4
Póvoa de Varzim,4
Rússia,4
Pai Natal,4
Tomé Capa,4
Associação de Funcionários,4
Vila Flor,4
Ciências,4
D. Julieta,4
Biologia,4
Facebook,4
Olinda Oliveira,4
Elsevier,4
Inglês,4
Páscoa,4
Israel,4
Roma,4
Comunicação,4
Gabinete de o Instalações Definitivas,4
José Vieira,4
Paulo Machado,4
Associação de Psicologia de o UMinho,4
Associação de Psicologia,4
Instituto de Ciências Sociais de o UMinho,4
Zurique,4
FLAD,4
PT,4
Gaia,4
Médio Oriente,4
André Santos,4
GSI,4
INFARMED,4
Venezuela,4
Bragança,4
Rui,4
António Cunha,4
Falcão,4
Maria João Pires,4
Direção Financeira e Patrimonial,4
Ângelo Martingo,4
Escola de Medicina de o UMinho,4
Escolas,4
Análise Estrutural de Monumentos,4
Microsoft,4
Helena Sousa,4
Universidade de Trás-os-Montes e Alto Douro,4
Deus,4
Quis,4
Fernando Ribeiro,4
Escolas e Institutos de o UMinho,4
Paulo Cruz,4
TIs,4
Engenharia Biológica,4
Leiria,4
Português,4
Jorge Marrão,4
Luís Portela,4
Bial,4
Pedro Brás de o Silva,4
Nuno Pires,4
OTL,4
BPB?,4
Marcelo Rebelo de Sousa,4
Parlamento Europeu,4
NÓS,4
OpenAIRE,4
Roberto Benigni,4
UM-Cidades,4
Vizela,4
Jorge,4
Isabel Fernandes,4
DEM,4
norte,4
Indonésia,4
WN,4
Engenharia e Matemática,4
Terras de Bouro,4
Bruno Castro,4
Sílvia Monteiro,4
Abade de o Loureira,4
DRH,4
Serviço de Reprografia,4
Publicações,4
Globetrotter,4
Departamento de Engenharia Têxtil,4
Carlos Leal Gomes,4
UCL,4
Solfarcos,4
Universidade de Groningen,4
Martin Dale,4
Concurso Nacional de Acesso,4
Tiago Porteiro,4
Francesca Rayner,4
José de Guimarães,4
Vasco Mourão,4
Ívan,4
CNA,4
Isabel Soares,4
Michael Lumb,4
LiMA,4
Nuno Ribeiro,4
UPLA,4
Fernando Jesus,4
Centro de Estudos Humanísticos,3
Pazos,3
Centro de Estudos Galegos,3
Ciências de Engenharia,3
Heitor de Almeida,3
Instituto de Letras e Ciências Humanas de o UMinho,3
História de Portugal,3
Carlos Neves,3
Departamentos,3
PALOP,3
Xurxo,3
Melgaço,3
Conselho Cultural de o UMinho,3
Arquivo Distrital,3
Museu de o Biscainhos,3
Alberto Sampaio,3
Andreia Alves,3
Torres Vedras,3
Edifício de o Congregados,3
IEC,3
Escola de psicologia,3
Bach,3
Luanda,3
Deficiência,3
Círculo Universitário,3
Círculo,3
Nogueira de o Silva,3
Avenida Central,3
FEDER,3
ISCTE,3
Engenharia Química,3
UNL,3
Universidade de o Algarve,3
Ordem de o Engenheiros,3
Faraday Society,3
NATO,3
Estrasburgo,3
Fundação,3
Cátedra Lloyd Braga,3
António M. Cunha,3
Nova Zelândia,3
Carlos,3
Escola Superior de Enfermagem,3
Vaticano,3
Buenos Aires,3
Hélio Osvaldo Alves,3
James,3
Beethoven,3
professora,3
Serviços de Documentação,3
Reitoria de o UMinho,3
Dan Brown,3
Escola de Direito de o UMinho,3
AMA,3
teatro,3
Departamento de Engenharia Civil,3
Ovar,3
IST,3
Netflix,3
Spotify,3
UMinho Exec,3
Erasmus Mundus,3
Lyon,3
Bosch,3
Polo de Inovação em Engenharia de Polímeros,3
Instituto de Design de Guimarães,3
Alumni UMinho,3
Prémio de Mérito Científico de o UMinho,3
Moisés de Lemos Martins,3
centro de Estudos de Comunicação e Sociedade,3
25 de abril,3
Revolução,3
Francisco Salgado Zenha,3
Universidade Nova de Lisboa,3
C,3
Centro de Estudos de Comunicação e Sociedade,3
IECA,3
Complexo Pedagógico I,3
Sydney Pollack,3
Departamento de Psicologia,3
Agência de Avaliação e acreditação de o Ensino Superior,3
Jean Martin Rabot,3
Alemão,3
Biomédica,3
Associação Industrial de o Minho,3
Cândida Vilarinho,3
Horizonte 2020,3
SUDOE,3
Casais,3
Península Ibérica,3
NASA,3
Carolina Rodrigues,3
Bruno Garim,3
Línguas,3
CEJUR,3
Primavera BSS,3
Carlos Oliveira,3
Primavera Software,3
Direção de Tecnologias e Sistemas de Informação,3
Vigo,3
NAECUM,3
Saúde,3
Madrid,3
Ryanair,3
Belenenses,3
Enterro de o Gata,3
Matemática,3
Romero,3
Cristiano Ronaldo,3
João Almeida,3
Alexandra Nobre,3
Bordéus,3
Gomziakov,3
Stradivarius,3
Pavel Gomziakov,3
Escola Profissional de Braga,3
Radiohead,3
Associação Académica de o UMinho,3
Programa Investigador FCT,3
ECS,3
Ciências de o Saúde,3
Construções Históricas,3
Teresa Sarmento,3
Atlântico,3
U2,3
Secção de Pessoal,3
Contabilidade,3
UEG,3
Johnson & Johnson,3
Grupo 3B’s,3
Nina Simone,3
Tony Collins,3
Universidade de Liège,3
Faro,3
Michel Maffesoli,3
Maria Manuel Oliveira,3
Centro de Estudos,3
Escolas de Arquitetura,3
Serviços,3
Escola Portuguesa de Macau,3
Ciências de o Natureza,3
Setúbal,3
Edith Silva,3
António Guterres,3
Tecnologias de o Informação,3
Sociedade,3
Hungria,3
ITN,3
Universidade de Maastricht,3
Fanny Tittel-Mosser,3
Zhang Fengyang,3
Deloitte,3
Depósito Legal,3
Giuseppe Tornatore,3
Conselho Geral de o UMinho,3
Instituto de Educação de o Universidade de o Minho,3
Reiquiavique,3
Tartu,3
ESN,3
YouTube,3
Lista,3
ETIR,3
Eloy Rodrigues,3
RCAAP,3
Pedro,3
Teresa,3
Casa de o Artes de Famalicão,3
Mediação Cultural e Literária,3
Close-Up,3
Secção de Aprovisionamento e Património,3
José Carlos Henriques,3
Vieira de o Silva,3
Ordem de o Psicólogos,3
Prémio de Investigação,3
facebook,3
Eslovénia,3
São Carlos,3
Alentejo,3
Palestina,3
Windy Noro,3
Luís Aguiar-Conraria,3
Miguel Portela,3
Segurança Social,3
Banhos Velhos,3
Ballet Rosa,3
Departamento de Estudos Portugueses,3
Terceira República,3
Sustentabilidade de o Ambiente Construído,3
Português-Inglês,3
Biblioteca Geral,3
Mombaça,3
Kibera,3
Hodi,3
Dublin,3
The Discoveries Centre,3
Teatro Jordão,3
José Manuel Lopes Cordeiro,3
Maia,3
Ciências de o Educação,3
Sporting Clube de Braga,3
Vietname,3
Laboratórios de Línguas,3
Armindo Cardoso,3
Teresa Salgueiro,3
Monção,3
DFP,3
CEB,3
CEORLab,3
Centro de Física,3
ESA,3
Regulamento,3
Alberto Proença,3
Paulo Sousa,3
COVID-19,3
Liliana Reis,3
Andreia Ferreira,3
Psicologia de o Justiça,3
Maria de o Carmo Mendes Ribeiro,3
Xaquín Núnez-Sabarís,3
Departamento de Ciências de o Comunicação,3
Multimédia,3
Lygia Clark,3
Allan Kaprow,3
Group Material,3
Sebastião,3
Pedro Gomes,3
Nuno Sousa,3
Super Bock Group,3
Relações Internacionais Político Económicas,3
Países Baixos,3
Fátima Bento,3
Bernardo Almeida,3
Vestas,3
The Future Design of Streets,3
Pinheiro Braga,3
BirdLab,3
José Pereira,3
Eunice Ribeiro,3
Beatriz Casais,3
Jorge Batista,3
José Dionísio,3
Alfredo Guisado,2
Pessoa,2
Consello de Cultura Galega,2
Carlos Pazos Justo,2
Departamento de Estudos Românicos de o UMinho,2
GALABRA,2
de Lisboa,2
Real Academia Galega,2
Carlos Cunha,2
Redondela,2
Filologia Portuguesa,2
Eixo Atlântico,2
Fundação CEER,2
Departamento de Engenharia Mecânica,2
Conselhos de Cursos,2
Associação de Funcionários de o UMinho,2
Escola de Arquitetura,2
James Cameron,2
Galegos,2
Xunta de Galicia,2
Vítor Aguiar e Silva,2
Galego,2
Lugo,2
José Viriato Capela,2
Memorando de Entendimento,2
País Basco,2
Catalunha,2
Cavaco Silva,2
Instituto Camões,2
parlamento,2
Xana Toc Toc,2
Pontevedra,2
Língua Estrangeira,2
Universidade de Vigo,2
Luís Rodrigues,2
Sesimbra,2
Melbourne,2
Deolinda,2
Sporting Clube de Portugal,2
Paula Cristina Martins,2
Paço de o Duques de Bragança,2
Museu de Arqueologia D. Diogo de Sousa,2
Instituto Confúcio,2
Engenharia de Telecomunicações e Informática de o UMinho,2
Andreia,2
Prof,2
Sara,2
Economia e Gestão,2
Balcão de Atendimento,2
BAEI,2
Patrícia Santana,2
de São Paulo,2
Manuel Vítor,2
Inclusão,2
Sandra Estêvão Rodrigues,2
Maria Emília Moreira,2
Círculo Universitário de Lourenço Marques,2
Revolução de Abril,2
Afonso,2
Fernando,2
ministério,2
Lenine,2
Salão Medieval,2
Olhe,2
Heitor Almeida,2
Rua de o Souto,2
Casa,2
Ministério de o negócio estrangeiro,2
Eduardo Marçal Grilo,2
Santa Tecla,2
António Guimarães Rodrigues,2
Carlos Silva,2
Fátima Moura Ferreira,2
Estudos Gerais Universitários de Moçambique,2
José Veiga Simão,2
Educação Nacional,2
OCDE,2
Banco Mundial,2
Conselho de o Europa,2
Manchester,2
Marçal Grilo,2
Ministério,2
Departamento de Física,2
Dep,2
Departamento de Química,2
Machado de o Santos,2
Richard Watson,2
Denis McQuail,2
Joseph Gonnella,2
Karen Luker,2
Harvard,2
Thomas Jefferson,2
Fundação Carlos Lloyd Braga,2
Carlos Couto,2
Instituto Politécnico de Faro,2
Luís Couto Gonçalves,2
ESE,2
Medicina de o UMinho,2
Comissão Nacional de Proteção de Dados,2
D. Jorge Ortiga,2
Conselho Cultural,2
Henrique Barreto Nunes,2
Orquestra,2
Filipa Abreu,2
Plácido Domingo,2
Jose Carreras,2
Rui Veloso,2
Sinfonia Nº6,2
Academia de Música Valentim Moreira de Sá,2
Elisabete Matos,2
Capital Europeia de o Cultura 2012,2
Janine Jansen,2
Roman Polanski,2
Mahatma Gandhi,2
Marketing!,2
Trás-os-Montes e Alto Douro,2
Banco Alimentar,2
Iraque,2
Afeganistão,2
Europeus,2
Mediterrâneo,2
Cabia-me,2
Helena Campos,2
Centro Avançado de Formação Pós-Graduada,2
Universidade de o Nações Unidas,2
Agência para o Modernização Administrativa,2
Tecnologias de Informação e Comunicação,2
CooperVision,2
Lda,2
Silicon Valley,2
Agilent,2
Biologia Molecular,2
Montanhas Rochosas,2
Lagareiro,2
Califórnia,2
Marte,2
Gabinete de Carreiras,2
Manchester Business School,2
Francisco Veiga,2
Gene Grossman,2
BBC,2
RTP,2
Filipa,2
Comunicação Social em o UMinho,2
ETA,2
David Bowie,2
MIT,2
Conferência Alumni,2
Zimbabué,2
POCTEP,2
Júlia Costa,2
Sopcom,2
Confibercom,2
