PROPN,Frequência
Universidade do Minho,12
Sara Coutinho,7
Bárbara Ribeiro,3
Sara Margarida Costa Coutinho,3
Perspetiva,2
Algarve,2
Uminho,2
Patrícia,2
Línguas Orientais,1
Cps,1
algarve,1
Estudos Orientais,1
Braga,1
Idalete,1
