PROPN,Frequência
Universidade,20
Universidade do Minho,8
Daniela Agostinho,6
Margarida Lima,6
Inês Melo,4
NCA,4
Núcleo,3
Politécnico do Porto,3
Maria Francisca Barros,2
UMinho,2
Instagram,2
Braga,1
Arregaçamos,1
Opinião,1
Universidades,1
